City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,Sioux Lookout,50.1001,-91.917,23.38,92,20,2.3,CA,2021-12-14 00:21:36
114,Ponta Do Sol,32.6667,-17.1,64.0,82,86,10.04,PT,2021-12-14 00:21:37
115,Clyde River,70.4692,-68.5914,-12.77,84,75,11.5,CA,2021-12-14 00:21:37
116,Murgab,37.4966,61.9714,35.67,67,100,6.8,TM,2021-12-14 00:21:38
117,Mirabad,30.4362,61.8383,46.78,56,0,9.08,AF,2021-12-14 00:21:38
118,Tautira,-17.7333,-149.15,84.22,73,85,10.36,PF,2021-12-14 00:21:38
119,Avera,33.194,-82.5271,50.72,54,0,2.82,US,2021-12-14 00:21:39
120,Los Llanos De Aridane,28.6585,-17.9182,60.55,70,0,5.01,ES,2021-12-14 00:21:39
121,Saint-Augustin,51.226,-58.6502,21.97,67,50,16.04,CA,2021-12-14 00:21:39
122,Fallon,39.4735,-118.7774,48.07,54,75,14.97,US,2021-12-14 00:21:40
123,Souillac,-20.5167,57.5167,75.58,88,40,9.22,MU,2021-12-14 00:21:40
124,Guerrero Negro,27.9769,-114.0611,63.46,70,97,11.27,MX,2021-12-14 00:21:40
125,Naze,28.3667,129.4833,59.92,56,46,5.3,JP,2021-12-14 00:21:41
126,Krasnouralsk,58.3638,60.0407,19.44,65,100,11.23,RU,2021-12-14 00:21:41
127,Porto Novo,6.4965,2.6036,84.02,83,22,6.35,BJ,2021-12-14 00:21:42
128,Podhum,43.7231,17.0011,36.16,93,72,8.25,BA,2021-12-14 00:21:42
129,Hithadhoo,-0.6,73.0833,81.66,71,97,10.78,MV,2021-12-14 00:21:42
130,Chapais,49.7834,-74.8492,24.58,95,100,8.99,CA,2021-12-14 00:17:46
131,Katsuura,35.1333,140.3,46.11,59,36,6.8,JP,2021-12-14 00:21:43
132,Antofagasta,-23.65,-70.4,63.68,80,5,7.43,CL,2021-12-14 00:21:43
133,Saint-Joseph,-21.3667,55.6167,75.56,80,19,10.6,RE,2021-12-14 00:21:44
134,Marsh Harbour,26.5412,-77.0636,76.24,71,0,14.36,BS,2021-12-14 00:21:44
135,Vila Velha,-20.3297,-40.2925,78.75,87,40,8.01,BR,2021-12-14 00:22:45
136,Nanortalik,60.1432,-45.2371,31.73,77,100,3.29,GL,2021-12-14 00:22:45
137,Port Elizabeth,-33.918,25.5701,65.1,94,75,6.91,ZA,2021-12-14 00:21:11
138,Khatanga,71.9667,102.5,-5.48,96,100,19.73,RU,2021-12-14 00:22:45
139,Kupang,-10.1667,123.5833,84.78,84,20,3.44,ID,2021-12-14 00:22:46
140,Jamestown,42.097,-79.2353,43.92,49,1,1.99,US,2021-12-14 00:22:46
141,Mount Isa,-20.7333,139.5,94.77,17,2,10.36,AU,2021-12-14 00:22:47
142,Teya,60.3778,92.6267,-10.86,99,99,1.54,RU,2021-12-14 00:22:47
143,Bethel,41.3712,-73.414,48.58,46,1,3.0,US,2021-12-14 00:17:59
144,Qaanaaq,77.484,-69.3632,6.4,74,100,1.97,GL,2021-12-14 00:22:47
145,Waynesville,35.4887,-82.9887,46.49,54,0,3.0,US,2021-12-14 00:21:13
146,Takoradi,4.8845,-1.7554,79.93,86,72,6.2,GH,2021-12-14 00:22:48
147,Nome,64.5011,-165.4064,-5.73,54,1,8.05,US,2021-12-14 00:22:48
148,Abha,18.2164,42.5053,48.02,42,0,0.0,SA,2021-12-14 00:22:49
149,Feijo,-8.1642,-70.3536,75.09,98,98,2.89,BR,2021-12-14 00:22:49
150,Port-Cartier,50.0334,-66.8654,25.75,90,99,3.89,CA,2021-12-14 00:22:50
151,Half Moon Bay,37.4636,-122.4286,56.08,93,90,5.99,US,2021-12-14 00:22:50
152,Glotovka,53.9491,46.7042,24.21,56,100,11.27,RU,2021-12-14 00:22:50
153,Ribeira Grande,38.5167,-28.7,59.31,59,97,2.59,PT,2021-12-14 00:22:51
154,Porangatu,-13.4408,-49.1486,71.83,97,100,3.13,BR,2021-12-14 00:22:51
155,Mondlo,-27.983,30.7177,59.99,88,100,4.99,ZA,2021-12-14 00:22:52
156,Luganville,-15.5333,167.1667,85.01,75,100,15.39,VU,2021-12-14 00:22:52
157,Snezhnogorsk,69.1933,33.2531,16.83,97,100,8.81,RU,2021-12-14 00:22:52
158,Barrow,71.2906,-156.7887,-27.38,62,1,9.22,US,2021-12-14 00:22:08
159,Rabo De Peixe,37.8,-25.5833,56.28,93,40,4.61,PT,2021-12-14 00:22:53
160,Pativilca,-10.7,-77.7833,68.54,80,50,7.9,PE,2021-12-14 00:22:53
161,Kidal,18.4411,1.4078,74.7,8,100,8.9,ML,2021-12-14 00:22:53
162,Sladkovo,55.5284,70.3385,2.79,99,96,5.21,RU,2021-12-14 00:22:54
163,Nhulunbuy,-12.2333,136.7667,92.01,55,75,8.05,AU,2021-12-14 00:22:54
164,Shingu,33.7333,135.9833,47.39,55,2,4.23,JP,2021-12-14 00:22:55
165,Saint John,45.2727,-66.0677,42.03,68,75,6.91,CA,2021-12-14 00:22:55
166,Oyama,36.3,139.8,43.59,42,20,1.59,JP,2021-12-14 00:22:55
167,Kruisfontein,-34.0033,24.7314,62.89,92,88,9.22,ZA,2021-12-14 00:22:56
168,Nikolskoye,59.7035,30.7861,33.4,95,83,7.34,RU,2021-12-14 00:22:56
169,Cherskiy,68.75,161.3,-20.4,86,99,5.26,RU,2021-12-14 00:22:56
170,Bengkulu,-3.8004,102.2655,76.26,86,44,3.69,ID,2021-12-14 00:22:57
171,Lokoja,7.8024,6.743,79.18,32,66,2.17,NG,2021-12-14 00:22:57
172,Terney,45.0503,136.6092,18.0,57,15,5.23,RU,2021-12-14 00:22:58
173,Bambous Virieux,-20.3428,57.7575,75.45,88,40,9.22,MU,2021-12-14 00:22:58
174,Fairbanks,64.8378,-147.7164,-24.39,74,20,3.44,US,2021-12-14 00:21:32
175,Chokurdakh,70.6333,147.9167,-21.42,94,100,8.23,RU,2021-12-14 00:22:58
176,Kiunga,-6.1219,141.2906,84.69,65,74,2.51,PG,2021-12-14 00:22:59
177,Geraldton,-28.7667,114.6,68.41,60,90,19.57,AU,2021-12-14 00:22:59
178,Meiganga,6.5167,14.3,68.36,30,100,4.9,CM,2021-12-14 00:23:00
179,Severo-Kurilsk,50.6789,156.125,32.65,84,100,25.95,RU,2021-12-14 00:23:00
180,Dobrinka,52.1653,40.4731,25.39,75,100,9.8,RU,2021-12-14 00:23:00
181,Hasaki,35.7333,140.8333,41.4,39,22,2.28,JP,2021-12-14 00:23:01
182,Baracoa,20.3467,-74.4958,77.59,82,5,14.43,CU,2021-12-14 00:24:01
183,Champerico,14.3,-91.9167,83.35,75,4,8.05,GT,2021-12-14 00:24:01
184,Valdivia,-39.8142,-73.2459,57.29,81,43,2.93,CL,2021-12-14 00:24:02
